股票代码,股票名称,信号日,实际买入日,买入价,买点,MA5,MA10,MA20,MA60,20日动量,60日动量,换手率,入场评分,条件复核,买入原因,卖出日,卖出价,卖出原因,持仓日数,收益率,盈亏,盈亏金额
002491.SZ,通鼎互联,2026-04-09,2026-04-10,15.5,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,13.944,12.761,11.662,9.5985,0.398613,1.62013,3223.507568,62.75,True,MA5>MA10>MA20>MA60；20日动量39.86%；当日评分62.75，评分排序最多持4只,2026-04-13,14.18,8%固定止损,1,-0.086441,亏损,-19441.25
600666.SH,奥瑞德,2026-04-09,2026-04-10,6.56,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,6.204,6.084,5.2915,4.268,0.539906,0.923754,3348.633545,58.75,True,MA5>MA10>MA20>MA60；20日动量53.99%；当日评分58.75，评分排序最多持4只,2026-04-13,6.01,8%固定止损,1,-0.085123,亏损,-17993.32
603538.SH,美诺华,2026-04-09,2026-04-10,33.7641,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,29.9324,29.0944,24.0806,18.1567,0.944444,1.241379,2944.376221,72.6,True,MA5>MA10>MA20>MA60；20日动量94.44%；当日评分72.60，评分排序最多持4只,2026-04-13,35.6212,5.5%固定止盈,1,0.053524,盈利,12478.36
688693.SH,锴威特,2026-04-09,2026-04-10,80.07,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,62.762,56.459,49.2825,42.9978,0.886112,1.105687,2635.406494,66.32,True,MA5>MA10>MA20>MA60；20日动量88.61%；当日评分66.32，评分排序最多持4只,2026-04-13,84.4738,5.5%固定止盈,1,0.053524,盈利,12437.14
000890.SZ,法尔胜,2026-04-10,2026-04-13,13.1,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,15.898,15.443,14.1835,8.9853,0.409722,1.646183,1869.811401,48.24,True,MA5>MA10>MA20>MA60；20日动量40.97%；当日评分48.24，评分排序最多持4只,2026-04-14,12.052,8%固定止损,1,-0.081287,亏损,-17689.07
002980.SZ,华盛昌,2026-04-10,2026-04-13,53.03,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,51.668,47.104,42.5625,31.2942,0.455919,1.442857,1837.443237,46.5,True,MA5>MA10>MA20>MA60；20日动量45.59%；当日评分46.50，评分排序最多持4只,2026-04-14,59.6,5.5%固定止盈,1,0.12232,盈利,25315.52
300461.SZ,田中精机,2026-04-10,2026-04-13,73.02,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,68.926,64.755,56.5625,45.8675,0.276451,2.963964,687.377075,52.59,True,MA5>MA10>MA20>MA60；20日动量27.65%；当日评分52.59，评分排序最多持4只,2026-04-14,65.86,8%固定止损,1,-0.099317,亏损,-22497.36
301362.SZ,民爆光电,2026-04-10,2026-04-13,103.7793,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,88.7168,80.2395,75.5072,59.6797,0.375,2.495478,1681.093506,57.02,True,MA5>MA10>MA20>MA60；20日动量37.50%；当日评分57.02，评分排序最多持4只,2026-04-15,109.4872,5.5%固定止盈,2,0.053524,盈利,12228.87
301373.SZ,凌玮科技,2026-04-13,2026-04-14,95.8252,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,84.3704,76.4616,72.4384,52.5439,0.37531,1.661777,2937.251953,59.85,True,MA5>MA10>MA20>MA60；20日动量37.53%；当日评分59.85，评分排序最多持4只,2026-04-15,88.1592,8%固定止损,1,-0.081287,亏损,-17148.57
603538.SH,美诺华,2026-04-13,2026-04-14,34.1981,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,32.1151,30.7207,25.8318,18.8231,0.894758,1.29123,2062.194824,62.39,True,MA5>MA10>MA20>MA60；20日动量89.48%；当日评分62.39，评分排序最多持4只,2026-04-15,36.2185,5.5%固定止盈,1,0.057599,盈利,12812.46
688693.SH,锴威特,2026-04-13,2026-04-14,86.75,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,73.386,63.641,53.3175,44.5208,0.989422,1.308511,2106.239746,65.7,True,MA5>MA10>MA20>MA60；20日动量98.94%；当日评分65.70，评分排序最多持4只,2026-04-15,95.73,5.5%固定止盈,1,0.101972,盈利,23015.9
000586.SZ,汇源通信,2026-04-14,2026-04-15,22.72,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,23.072,20.32,17.6035,15.7207,0.472381,0.750189,4132.20752,54.37,True,MA5>MA10>MA20>MA60；20日动量47.24%；当日评分54.37，评分排序最多持4只,2026-04-16,20.9024,8%固定止损,1,-0.081287,亏损,-18850.98
002580.SZ,圣阳股份,2026-04-14,2026-04-15,24.4326,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,19.1149,17.9921,16.238,14.177,0.691458,0.737519,3905.803467,57.52,True,MA5>MA10>MA20>MA60；20日动量69.15%；当日评分57.52，评分排序最多持4只,2026-04-16,26.5185,5.5%固定止盈,1,0.083857,盈利,19682.74
002980.SZ,华盛昌,2026-04-14,2026-04-15,68.43,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,56.8,50.991,44.9955,32.608,0.659508,1.939505,1619.00708,57.04,True,MA5>MA10>MA20>MA60；20日动量65.95%；当日评分57.04，评分排序最多持4只,2026-04-16,72.1937,5.5%固定止盈,1,0.053524,盈利,12461.73
301396.SZ,宏景科技,2026-04-14,2026-04-15,158.4455,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,144.1611,131.574,122.9587,87.8059,0.391663,2.105285,1320.704834,51.12,True,MA5>MA10>MA20>MA60；20日动量39.17%；当日评分51.12，评分排序最多持4只,2026-04-16,177.0093,5.5%固定止盈,1,0.115599,盈利,23827.69
002328.SZ,新朋股份,2026-04-15,2026-04-16,12.3469,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,10.7467,9.2671,8.0028,7.3118,0.857355,0.736111,4010.927979,62.2,True,MA5>MA10>MA20>MA60；20日动量85.74%；当日评分62.20，评分排序最多持4只,2026-04-17,13.0778,5.5%固定止盈,1,0.057718,盈利,13620.95
